ep, reward
0, 14.993300000000001
1, 12.994500000000002
2, 13.994100000000003
3, 13.993199999999998
4, 12.994299999999999
5, 11.994800000000001
6, 12.994
7, 12.9938
8, 12.9943
9, 14.9932
10, 14.993000000000002
11, 15.992199999999997
12, 14.993400000000003
13, 14.993300000000005
14, 15.991999999999997
15, 14.993599999999999
16, 13.994000000000005
17, 12.994300000000003
18, 13.994000000000003
19, 14.993700000000002
20, 14.993200000000002
21, 12.9944
22, 13.993299999999998
23, 14.993300000000003
24, 14.993600000000004
25, 15.9921
26, 10.995199999999999
27, 14.992999999999999
28, 11.995000000000005
29, 13.9938
30, 14.993300000000005
31, 14.993400000000001
32, 13.993900000000002
33, 10.9953
34, 14.993500000000003
35, 14.993700000000004
36, 13.994300000000006
37, 14.993700000000004
38, 12.994400000000002
39, 13.994000000000003
40, 14.993600000000006
41, 13.994000000000005
42, 14.993400000000001
43, 13.993900000000004
44, 14.993800000000002
45, 14.993700000000004
46, 12.994500000000002
47, 12.994600000000005
48, 13.994200000000001
49, 13.994000000000003
50, 13.994000000000003
51, 14.9937
52, 12.994600000000004
53, 14.993600000000004
54, 14.993700000000002
55, 12.9945
56, 13.994300000000003
57, 14.993700000000004
58, 12.994399999999999
59, 13.993900000000005
60, 13.994300000000006
61, 15.992300000000004
62, 14.993700000000004
63, 14.9937
64, 14.993600000000004
65, 14.993600000000004
66, 14.993600000000004
67, 12.994600000000004
68, 13.994200000000001
69, 14.993500000000001
70, 14.993700000000002
71, 14.993700000000004
72, 13.994100000000003
73, 12.994600000000005
74, 14.993700000000004
75, 14.993700000000004
76, 13.993700000000002
77, 14.993700000000004
78, 14.993700000000004
79, 14.9936
80, 14.993700000000002
81, 13.994200000000001
82, 14.993600000000006
83, 12.994600000000004
84, 14.993700000000004
85, 14.993600000000004
86, 14.993700000000004
87, 14.993500000000006
88, 14.993600000000004
89, 14.993700000000004
90, 14.993700000000002
91, 12.994600000000004
92, 14.993800000000002
93, 15.993000000000002
94, 14.993700000000004
95, 14.993700000000004
96, 12.994600000000004
97, 13.994200000000003
98, 14.993700000000004
99, 14.993700000000004
100, 13.994200000000001
101, 13.994200000000005
102, 14.993700000000004
103, 15.992600000000003
104, 14.993700000000004
105, 14.993700000000004
106, 14.993700000000004
107, 15.992700000000005
108, 14.993600000000004
109, 14.993700000000004
110, 13.994200000000005
111, 13.994200000000001
112, 13.994200000000005
113, 14.993600000000004
114, 13.994300000000003
115, 14.993700000000004
116, 14.993700000000004
117, 14.993600000000004
118, 14.993700000000004
119, 14.993700000000004
120, 14.993700000000004
121, 14.993700000000004
122, 13.994300000000006
123, 14.993700000000004
124, 14.993700000000004
125, 14.993600000000004
126, 14.993700000000004
127, 14.993700000000004
128, 14.993700000000004
129, 14.993700000000004
130, 15.992300000000004
131, 14.993700000000004
132, 14.9937
133, 14.993700000000004
134, 14.993700000000004
135, 14.993700000000004
136, 14.993700000000004
137, 14.9937
138, 14.993700000000004
139, 14.993700000000004
140, 14.993700000000004
141, 14.993700000000004
142, 13.994300000000006
143, 14.993700000000004
144, 15.992700000000005
145, 13.994300000000006
146, 14.993700000000004
147, 14.993700000000004
148, 14.993700000000004
149, 14.993700000000004
150, 14.993700000000004
151, 14.993700000000004
152, 14.993700000000004
153, 14.993700000000004
154, 14.993700000000004
155, 14.993700000000004
156, 14.993700000000004
157, 14.993700000000004
158, 14.993700000000004
159, 14.993700000000004
160, 13.994200000000005
161, 14.993700000000004
162, 14.993700000000004
163, 14.993700000000004
164, 14.993700000000004
165, 14.993700000000004
166, 14.993700000000004
167, 14.993700000000004
168, 14.993700000000004
169, 14.993700000000004
170, 14.993700000000004
171, 12.994600000000004
172, 14.993700000000004
173, 14.993700000000004
174, 14.993700000000004
175, 14.993700000000004
176, 14.993700000000004
177, 14.993700000000004
178, 14.993700000000004
179, 14.993700000000004
180, 14.993800000000002
181, 14.993700000000004
182, 14.993700000000004
183, 14.993700000000004
184, 14.993700000000004
185, 14.993700000000004
186, 14.993700000000004
187, 14.993700000000004
188, 14.993700000000004
189, 14.993700000000004
190, 14.993700000000004
191, 14.993700000000004
192, 14.993700000000004
193, 13.994200000000005
194, 14.993700000000004
195, 14.993700000000004
196, 14.993700000000004
197, 14.993700000000004
198, 14.993700000000004
199, 14.993700000000004
