ep, reward
0, 12.993799999999998
1, 11.994700000000002
2, 11.994900000000001
3, 12.9941
4, 13.9938
5, 12.993799999999998
6, 8.996
7, 13.993599999999999
8, 13.993199999999998
9, 12.994100000000001
10, 12.993899999999998
11, 12.994300000000003
12, 11.9948
13, 9.9954
14, 13.9935
15, 12.9942
16, 12.9941
17, 11.994700000000003
18, 13.993499999999997
19, 12.993799999999998
20, 13.993699999999997
21, 13.993399999999998
22, 13.9934
23, 13.9934
24, 15.992599999999998
25, 14.992799999999999
26, 14.993099999999998
27, 13.9934
28, 10.995000000000001
29, 13.993399999999998
30, 14.992599999999998
31, 13.9937
32, 13.993199999999998
33, 11.9944
34, 13.9932
35, 12.994100000000003
36, 13.993600000000002
37, 12.993599999999999
38, 13.993200000000002
39, 12.993799999999998
40, 13.9937
41, 12.9938
42, 13.9934
43, 13.993500000000001
44, 12.994000000000003
45, 12.9937
46, 12.993500000000001
47, 15.991999999999997
48, 13.993199999999998
49, 14.9928
50, 14.993200000000002
51, 12.994200000000003
52, 14.992599999999998
53, 12.993800000000002
54, 12.993599999999999
55, 12.994199999999998
56, 13.993299999999998
57, 13.993500000000001
58, 12.994
59, 14.992799999999997
60, 14.992600000000001
61, 11.9943
62, 14.992699999999997
63, 13.993699999999999
64, 13.9932
65, 13.9934
66, 12.993500000000001
67, 13.993600000000002
68, 14.992399999999998
69, 12.9937
70, 12.9939
71, 14.992999999999999
72, 13.993599999999999
73, 13.993399999999998
74, 13.9929
75, 13.993100000000002
76, 14.993100000000002
77, 13.9933
78, 13.993399999999998
79, 13.993099999999998
80, 14.992799999999997
81, 13.993500000000001
82, 13.9932
83, 14.9932
84, 12.9937
85, 13.992799999999999
86, 14.9931
87, 14.9922
88, 14.9925
89, 13.9933
90, 12.993800000000002
91, 14.992999999999997
92, 14.9931
93, 14.993099999999997
94, 14.9931
95, 14.992899999999999
96, 13.9938
97, 13.993699999999999
98, 14.992599999999998
99, 15.991799999999998
100, 12.9941
101, 13.993199999999998
102, 12.993799999999998
103, 13.9934
104, 15.992500000000001
105, 15.9922
106, 15.991399999999999
107, 15.992
108, 14.9931
109, 14.9924
110, 15.992199999999997
111, 14.992799999999997
112, 14.992599999999998
113, 14.992799999999999
114, 12.993899999999998
115, 12.9934
116, 14.9931
117, 16.9911
118, 12.993699999999999
119, 15.991999999999997
120, 12.9939
121, 14.992899999999999
122, 14.992799999999999
123, 12.994
124, 15.992099999999997
