setname,solvername,problemname,status,solutionstatus,objvalue,runtime
C3_2FAT_20,ILP_GUROBI,graphmapping_9d723835,1,1,12,670.5694618225098
C2_2FAT_20,ILP_GUROBI,graphmapping_49a9bf7e,1,1,12,6010.324331998825
C1_2FAT_20,ILP_GUROBI,graphmapping_6c74e929,1,1,13,25.67955446243286
C123_PIO_20,ILP_GUROBI,graphmapping_4a472ea9,1,1,16,28.763315439224243
C123_2FAT_20,ILP_GUROBI,graphmapping_5e623998,1,1,13,12564.584453821182
C2_PIO_20,ILP_GUROBI,graphmapping_b8b86531,1,1,16,16.173441886901855
C1_PIO_20,ILP_GUROBI,graphmapping_d698a951,1,1,16,14.00565218925476
