setname,solvername,problemname,status,solutionstatus,objvalue,runtime
C3_2FAT_20,ILP_GUROBI,graphmapping_69ad2708,1,1,12,5580.122869491577
C2_2FAT_20,ILP_GUROBI,graphmapping_49a9bf7e,1,1,12,108.46263265609741
C13_2FAT_20,QL_graphmapping_d36c7c70,graphmapping_d36c7c70,1,C2_(0, 2)_@0,0,1.4575392119586468
C1_2FAT_20,ILP_GUROBI,graphmapping_4ab15a79,1,1,14,151.86733627319336
C123_PIO_20,ILP_GUROBI,graphmapping_4a472ea9,1,1,16,28.763315439224243
C13_2FAT_20,ILP_GUROBI,graphmapping_d36c7c70,1,1,15,13792.14393734932
C2_PIO_20,ILP_GUROBI,graphmapping_b8b86531,1,1,16,16.173441886901855
C1_PIO_20,ILP_GUROBI,graphmapping_d698a951,1,1,16,14.00565218925476
