ep, reward
452, 978.0
453, 978.0
454, 978.0
455, 978.0
456, 978.0
457, 978.0
458, 978.0
459, 978.0
460, 978.0
461, 978.0
462, 978.0
463, 977.25
464, 978.0
465, 978.0
466, 978.0
467, 978.0
468, 978.0
469, 978.0
470, 978.0
471, 978.0
472, 978.0
473, 978.0
474, 978.0
475, 978.0
476, 978.0
477, 978.0
478, 978.0
479, 978.0
480, 978.0
481, 978.0
482, 978.0
483, 978.0
484, 978.0
485, 978.0
486, 978.0
487, 978.0
488, 978.0
489, 978.0
490, 978.0
491, 978.0
492, 978.0
493, 978.0
494, 977.25
495, 978.0
496, 978.0
497, 978.0
498, 978.0
499, 978.0
